epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/pcc_epoch,val/loss_epoch,val/pcc_epoch
,9.999484383245623e-06,9.999484383245623e-06,5799,,,,,
0,,,5799,,21.004396438598633,,,
,9.999470721737177e-06,9.999470721737177e-06,5849,,,,,
,9.999470721737177e-06,9.999470721737177e-06,5849,,,,,
,9.999470721737177e-06,9.999470721737177e-06,5849,,,,,
0,,,5849,,1.3525227308273315,,,
,9.999456881612907e-06,9.999456881612907e-06,5899,,,,,
,9.999456881612907e-06,9.999456881612907e-06,5899,,,,,
,9.999456881612907e-06,9.999456881612907e-06,5899,,,,,
0,,,5899,,18.824222564697266,,,
,9.999442862873311e-06,9.999442862873311e-06,5949,,,,,
,9.999442862873311e-06,9.999442862873311e-06,5949,,,,,
,9.999442862873311e-06,9.999442862873311e-06,5949,,,,,
0,,,5949,,28.501623153686523,,,
,9.999428665518889e-06,9.999428665518889e-06,5999,,,,,
,9.999428665518889e-06,9.999428665518889e-06,5999,,,,,
,9.999428665518889e-06,9.999428665518889e-06,5999,,,,,
0,,,5999,,20.79203224182129,,,
,9.999414289550145e-06,9.999414289550145e-06,6049,,,,,
,9.999414289550145e-06,9.999414289550145e-06,6049,,,,,
,9.999414289550145e-06,9.999414289550145e-06,6049,,,,,
0,,,6049,,8.081921577453613,,,
,9.999399734967598e-06,9.999399734967598e-06,6099,,,,,
,9.999399734967598e-06,9.999399734967598e-06,6099,,,,,
,9.999399734967598e-06,9.999399734967598e-06,6099,,,,,
0,,,6099,,19.61434555053711,,,
,9.999385001771764e-06,9.999385001771764e-06,6149,,,,,
,9.999385001771764e-06,9.999385001771764e-06,6149,,,,,
,9.999385001771764e-06,9.999385001771764e-06,6149,,,,,
0,,,6149,,9.205392837524414,,,
,9.99937008996317e-06,9.99937008996317e-06,6199,,,,,
,9.99937008996317e-06,9.99937008996317e-06,6199,,,,,
,9.99937008996317e-06,9.99937008996317e-06,6199,,,,,
0,,,6199,,17.58350372314453,,,
,9.999354999542351e-06,9.999354999542351e-06,6249,,,,,
,9.999354999542351e-06,9.999354999542351e-06,6249,,,,,
